rider_id,rider_name,city,vehicle_type,experience_years,joining_year,shift_type
D00060,Ishwar Shanker,Coimbatore,Bike,5,2020,Afternoon
D00061,Vanya Sheth,Bangalore,Scooter,6,2026,Afternoon
D00062,Udant Mittal,Chennai,Scooter,3,2023,Evening
D00063,Udyati Vyas,Hyderabad,Bike,3,2020,Night
D00064,Jeet Borde,Bangalore,Scooter,6,2025,Evening
D00065,Chandani Choudhary,Bangalore,Scooter,3,2023,Morning
D00066,Yashodhara Nagy,Coimbatore,Scooter,4,2023,Morning
D00067,Ethan Khosla,Chennai,Bike,4,2025,Evening
D00068,Watika Chandra,Coimbatore,Bike,3,2020,Afternoon
D00069,Abeer Ghosh,Vijayawada,Scooter,5,2021,Morning
D00070,Neel Nagarajan,Chennai,Scooter,0,2023,Morning
D00071,Shivansh Sha,Chennai,Scooter,5,2026,Evening
D00072,Girindra Barman,Chennai,Bike,0,2026,Night
D00073,Raagini Kar,Bangalore,Scooter,1,2021,Morning
D00074,Ekaja Ahuja,Chennai,Scooter,6,2024,Afternoon
D00075,Warda Korpal,Bangalore,Scooter,7,2022,Night
D00076,Fiyaz Cherian,Bangalore,Scooter,5,2026,Evening
D00077,Eiravati Din,Chennai,Bike,8,2026,Afternoon
D00078,Victor Bhardwaj,Bangalore,Bike,7,2024,Morning
D00079,Vanya Divan,Bangalore,Bike,5,2020,Morning
D00080,Amruta Chowdhury,Bangalore,Scooter,8,2022,Afternoon
D00081,Nikita Thakkar,Coimbatore,Scooter,0,2023,Morning
D00082,Dominic Mukherjee,Chennai,Bike,1,2021,Night
D00083,Lohit Raghavan,Bangalore,Scooter,6,2024,Afternoon
D00084,Ethan Rajagopal,Chennai,Scooter,1,2020,Morning
D00085,Udyati Hora,Hyderabad,Scooter,3,2023,Night
D00086,Aarnav Mangal,Chennai,Bike,4,2024,Morning
D00087,Divya Sani,Hyderabad,Bike,3,2025,Night
D00088,Tarak Venkataraman,Bangalore,Scooter,3,2025,Afternoon
D00089,Yadavi Vora,Coimbatore,Scooter,6,2023,Night
D00090,Brinda Bir,Chennai,Scooter,5,2021,Evening
D00091,Ronith Aggarwal,Chennai,Scooter,5,2026,Afternoon
D00092,Unni Prasad,Chennai,Bike,2,2024,Afternoon
D00093,Lakshit Chahal,Chennai,Bike,2,2024,Evening
D00094,Vrinda Sahota,Chennai,Scooter,0,2026,Morning
D00095,Pooja Vaidya,Chennai,Bike,0,2024,Evening
D00096,Xalak Rama,Chennai,Bike,8,2020,Afternoon
D00097,Siya Tata,Coimbatore,Bike,2,2022,Afternoon
D00098,Nirja Halder,Coimbatore,Scooter,7,2026,Morning
D00099,Rajata Prasad,Chennai,Scooter,1,2022,Morning
D00100,Jyoti Kibe,Chennai,Scooter,6,2025,Afternoon
D00101,Tanmayi Sachdeva,Chennai,Bike,6,2022,Evening
D00102,Siya Sastry,Bangalore,Scooter,8,2025,Night
D00103,Faraj Aurora,Vijayawada,Scooter,3,2023,Morning
D00104,Yachana Desai,Chennai,Bike,3,2025,Morning
D00105,Laksh Panchal,Chennai,Scooter,6,2024,Afternoon
D00106,Harrison Sidhu,Coimbatore,Scooter,1,2020,Afternoon
D00107,Nathan Mittal,Bangalore,Scooter,3,2026,Evening
D00108,Janya Wagle,Hyderabad,Scooter,0,2024,Night
D00109,Chatresh Mistry,Bangalore,Bike,1,2022,Evening
D00110,Samar Bhatnagar,Hyderabad,Scooter,5,2023,Morning
D00111,Sanaya Gandhi,Chennai,Bike,1,2023,Night
D00112,Jackson Patel,Bangalore,Bike,5,2024,Morning
D00113,Meera Kulkarni,Hyderabad,Bike,0,2020,Evening
D00114,Isaiah Master,Bangalore,Bike,1,2026,Afternoon
D00115,Meera Virk,Coimbatore,Bike,0,2026,Afternoon
D00116,Farhan Uppal,Hyderabad,Bike,0,2022,Morning
D00117,Tejas Dora,Coimbatore,Bike,6,2023,Evening
D00118,Dakshesh Tella,Chennai,Bike,5,2025,Morning
D00119,Zashil Dey,Vijayawada,Bike,5,2025,Morning
D00120,Aarnav Bajwa,Bangalore,Bike,7,2024,Morning
D00121,Ekbal Lalla,Coimbatore,Bike,3,2024,Night
D00122,Ucchal Krishnamurthy,Chennai,Bike,6,2020,Evening
D00123,Darpan Mane,Vijayawada,Bike,4,2022,Afternoon
D00124,Girish Butala,Chennai,Scooter,0,2025,Night
D00125,Daniel Vohra,Vijayawada,Scooter,2,2020,Evening
D00126,Gayathri Sekhon,Chennai,Bike,7,2023,Afternoon
D00127,Yashvi Ravel,Coimbatore,Scooter,8,2020,Night
D00128,Anusha Wable,Chennai,Scooter,3,2024,Night
D00129,Varenya Kapoor,Coimbatore,Scooter,7,2022,Evening
D00130,Devansh Ghosh,Bangalore,Bike,4,2023,Evening
D00131,Rajeshri Prabhu,Hyderabad,Scooter,7,2024,Morning
D00132,Bhavna Mody,Hyderabad,Scooter,4,2020,Night
D00133,Benjamin Nadig,Chennai,Bike,0,2023,Morning
D00134,Champak Narain,Coimbatore,Scooter,6,2025,Morning
D00135,Krisha Boase,Chennai,Bike,5,2024,Afternoon
D00136,Kamya Chaudhuri,Bangalore,Scooter,2,2021,Morning
D00137,Warda Rai,Bangalore,Scooter,5,2026,Morning
D00138,Chaman Mody,Vijayawada,Bike,6,2026,Evening
D00139,Dalbir Ramesh,Bangalore,Scooter,5,2020,Morning
D00140,Nimrat Goda,Coimbatore,Scooter,6,2020,Night
D00141,Wridesh Setty,Coimbatore,Scooter,5,2022,Evening
D00142,Unni Dada,Vijayawada,Scooter,1,2024,Evening
D00143,Suhani Chacko,Chennai,Scooter,3,2020,Evening
D00144,Ayushman Bahri,Bangalore,Bike,8,2025,Evening
D00145,Manbir Varkey,Coimbatore,Scooter,5,2023,Night
D00146,Reva Chaudry,Chennai,Scooter,8,2023,Morning
D00147,Anusha Salvi,Chennai,Scooter,7,2020,Evening
D00148,Kritika Shukla,Bangalore,Bike,2,2022,Afternoon
D00149,Wyatt Karan,Bangalore,Scooter,2,2025,Evening
D00150,Hardik Solanki,Bangalore,Scooter,8,2020,Afternoon
D00151,Advay Choudhury,Chennai,Scooter,8,2026,Morning
D00152,Niharika Tandon,Bangalore,Scooter,4,2026,Evening
D00153,Keya Shenoy,Bangalore,Bike,5,2023,Night
D00154,Thomas Jaggi,Bangalore,Bike,6,2025,Evening
D00155,Siya Rajagopal,Chennai,Bike,8,2023,Night
D00156,Nimrat Ahluwalia,Chennai,Bike,1,2020,Night
D00157,Vihaan Palan,Coimbatore,Scooter,5,2020,Night
D00158,Utkarsh Bhardwaj,Bangalore,Scooter,6,2022,Night
D00159,Bahadurjit Shanker,Bangalore,Scooter,3,2020,Evening
D00160,Warjas Datta,Bangalore,Bike,7,2024,Morning
D00161,Ijaya Tata,Bangalore,Scooter,1,2026,Morning
D00162,Ekbal Halder,Chennai,Bike,6,2025,Evening
D00163,Yug Naidu,Chennai,Scooter,5,2022,Night
D00164,Logan Bhalla,Chennai,Bike,1,2021,Afternoon
D00165,Nachiket Arora,Chennai,Bike,5,2020,Afternoon
D00166,Daniel Dash,Chennai,Scooter,0,2023,Evening
D00167,Manan Gill,Vijayawada,Scooter,6,2020,Morning
D00168,Avi Memon,Bangalore,Scooter,1,2025,Afternoon
D00169,Bina Ben,Hyderabad,Scooter,3,2025,Night
D00170,Laksh Bhatnagar,Bangalore,Bike,6,2020,Night
D00171,Anthony Saraf,Coimbatore,Scooter,7,2021,Morning
D00172,Harita Iyer,Vijayawada,Bike,8,2026,Night
D00173,Upasna Garde,Hyderabad,Scooter,1,2022,Afternoon
D00174,Ishaan Rattan,Bangalore,Scooter,4,2025,Afternoon
D00175,Varenya Patla,Chennai,Bike,3,2022,Night
D00176,Dalbir Pal,Hyderabad,Bike,5,2022,Night
D00177,Daniel Issac,Chennai,Bike,5,2022,Night
D00178,Raagini Sani,Bangalore,Scooter,0,2020,Morning
D00179,Gaurika Hayer,Chennai,Scooter,6,2023,Morning
D00180,Laban Shah,Chennai,Bike,4,2020,Afternoon
D00181,Sarthak Shukla,Bangalore,Bike,7,2024,Night
D00182,Matthew Parekh,Hyderabad,Bike,0,2024,Evening
D00183,Agastya Parekh,Chennai,Bike,8,2021,Evening
D00184,Rachita Naik,Coimbatore,Scooter,1,2021,Evening
D00185,Bhavini Nagi,Chennai,Scooter,4,2020,Evening
D00186,Jatin Radhakrishnan,Bangalore,Bike,8,2023,Night
D00187,Atharv Gill,Hyderabad,Bike,3,2025,Evening
D00188,Matthew Mall,Vijayawada,Bike,6,2026,Night
D00189,Yutika Chandra,Bangalore,Scooter,1,2020,Night
D00190,Falguni Choudhury,Hyderabad,Bike,0,2026,Afternoon
D00191,Udant Shenoy,Bangalore,Bike,1,2022,Evening
D00192,Parth Kota,Coimbatore,Scooter,1,2023,Morning
D00193,Tarak Goel,Bangalore,Bike,0,2026,Afternoon
D00194,Ayaan Naidu,Vijayawada,Bike,7,2020,Morning
D00195,Urishilla Manda,Chennai,Scooter,3,2025,Evening
D00196,Omkaar Sabharwal,Coimbatore,Scooter,0,2021,Evening
D00197,Jalsa Divan,Vijayawada,Scooter,8,2023,Afternoon
D00198,Neel Cheema,Bangalore,Scooter,6,2025,Morning
D00199,Shravya Dugar,Coimbatore,Bike,2,2020,Night
D00200,Laksh Narula,Bangalore,Scooter,1,2026,Afternoon
D00201,Bahadurjit Oak,Vijayawada,Bike,2,2023,Afternoon
D00202,Jatin Munshi,Chennai,Bike,3,2022,Afternoon
D00203,Teerth Bal,Chennai,Bike,2,2025,Afternoon
D00204,Panini Dar,Chennai,Scooter,1,2022,Morning
D00205,Wazir Ganesan,Bangalore,Bike,3,2024,Afternoon
D00206,Prisha Bir,Coimbatore,Scooter,2,2020,Night
D00207,Nimrat Deshmukh,Hyderabad,Scooter,4,2022,Morning
D00208,Gaurav Ravel,Chennai,Bike,6,2026,Night
D00209,Vihaan Sharaf,Hyderabad,Scooter,5,2026,Morning
D00210,Amruta Dyal,Vijayawada,Scooter,8,2022,Afternoon
D00211,Rayaan Dey,Coimbatore,Bike,1,2024,Night
D00212,Vrishti Kanda,Chennai,Scooter,7,2024,Afternoon
D00213,Yoshita Dugal,Vijayawada,Bike,3,2025,Afternoon
D00214,Radhika Lall,Chennai,Scooter,4,2021,Afternoon
D00215,Yoshita Walla,Chennai,Scooter,4,2025,Night
D00216,Arya Chakraborty,Hyderabad,Scooter,8,2026,Afternoon
D00217,Advika Minhas,Bangalore,Scooter,0,2024,Evening
D00218,Wakeeta Rattan,Chennai,Scooter,3,2025,Night
D00219,Logan Rao,Bangalore,Scooter,6,2024,Night
D00220,Ganga Ramanathan,Bangalore,Scooter,5,2025,Evening
D00221,Gautam Aurora,Coimbatore,Bike,0,2022,Afternoon
D00222,Hardik Garde,Hyderabad,Bike,1,2024,Night
D00223,Avi Prabhakar,Coimbatore,Bike,7,2025,Night
D00224,Wazir Chowdhury,Coimbatore,Scooter,2,2023,Afternoon
D00225,Aarav Barman,Hyderabad,Scooter,2,2022,Evening
D00226,Rachita Bhatnagar,Chennai,Bike,5,2025,Afternoon
D00227,Yadavi Bhatti,Vijayawada,Bike,4,2020,Night
D00228,Nisha Goyal,Chennai,Bike,5,2020,Afternoon
D00229,Harini Wagle,Coimbatore,Bike,0,2025,Night
D00230,Pranit Goswami,Hyderabad,Scooter,7,2020,Afternoon
D00231,Arjun Jhaveri,Coimbatore,Scooter,7,2022,Evening
D00232,Manbir Chana,Hyderabad,Bike,4,2024,Night
D00233,David Goel,Chennai,Scooter,4,2020,Night
D00234,Bhanumati Mane,Bangalore,Bike,3,2020,Night
D00235,Dayita Mane,Vijayawada,Bike,8,2025,Morning
D00236,Hema Mohanty,Coimbatore,Bike,3,2023,Morning
D00237,Anika Batra,Bangalore,Bike,2,2024,Morning
D00238,Dominic Bhalla,Hyderabad,Scooter,1,2026,Afternoon
D00239,Krishna Savant,Chennai,Scooter,8,2023,Afternoon
D00240,Dalaja Patil,Hyderabad,Bike,3,2021,Evening
D00241,Prisha Peri,Vijayawada,Scooter,4,2025,Night
D00242,Bimala Chand,Coimbatore,Bike,4,2023,Night
D00243,Gaurang Magar,Bangalore,Scooter,1,2025,Morning
D00244,Girindra Salvi,Chennai,Bike,6,2020,Evening
D00245,Vasudha Nigam,Bangalore,Scooter,4,2026,Morning
D00246,Elijah Kara,Hyderabad,Bike,8,2024,Afternoon
D00247,Indali Bobal,Chennai,Scooter,1,2020,Evening
D00248,Yochana Barman,Coimbatore,Scooter,1,2021,Evening
D00249,Triveni Bobal,Chennai,Bike,5,2020,Morning
D00250,Anmol Muni,Chennai,Bike,1,2025,Morning
D00251,Hritik Pandit,Bangalore,Scooter,1,2023,Afternoon
D00252,Ubika Merchant,Vijayawada,Bike,7,2021,Morning
D00253,Qabil Lala,Bangalore,Scooter,8,2022,Evening
D00254,Mason Sanghvi,Hyderabad,Scooter,0,2022,Evening
D00255,Yutika Mane,Chennai,Bike,7,2021,Morning
D00256,Odika Om,Coimbatore,Bike,0,2021,Evening
D00257,Amrita Ramaswamy,Hyderabad,Scooter,6,2020,Night
D00258,Ishani Dara,Vijayawada,Scooter,8,2023,Afternoon
D00259,Bahadurjit Narula,Bangalore,Bike,3,2026,Night
D00260,Lavanya Mangal,Chennai,Scooter,1,2022,Evening
D00261,Vedant Chand,Chennai,Scooter,7,2021,Afternoon
D00262,Finn Natt,Hyderabad,Bike,8,2025,Night
D00263,Pavani Khare,Bangalore,Bike,7,2026,Afternoon
D00264,Balhaar Gulati,Chennai,Scooter,3,2021,Afternoon
D00265,Janani Mand,Coimbatore,Scooter,4,2026,Evening
D00266,Dipta Prabhakar,Chennai,Bike,2,2024,Evening
D00267,Janaki Manda,Bangalore,Bike,5,2021,Morning
D00268,Chandran Jhaveri,Hyderabad,Scooter,0,2026,Night
D00269,Yoshita Sanghvi,Chennai,Scooter,4,2025,Evening
D00270,Ekta Chana,Bangalore,Scooter,2,2021,Evening
D00271,Tanay Peri,Coimbatore,Scooter,5,2026,Night
D00272,Anita Krishna,Hyderabad,Scooter,5,2024,Morning
D00273,Shaurya Bail,Chennai,Bike,1,2022,Night
D00274,Ekaja Sheth,Bangalore,Scooter,1,2023,Evening
D00275,Hamsini Pillay,Hyderabad,Scooter,5,2023,Evening
D00276,Niharika Buch,Hyderabad,Scooter,7,2025,Night
D00277,Zinal Gola,Chennai,Scooter,8,2021,Afternoon
D00278,Tanveer Datta,Bangalore,Bike,7,2022,Evening
D00279,Indrajit Mahajan,Coimbatore,Bike,5,2022,Evening
D00280,Hardik Sharaf,Hyderabad,Scooter,1,2022,Morning
D00281,Ekta Virk,Chennai,Bike,8,2025,Night
D00282,Manthan Rau,Hyderabad,Bike,6,2024,Evening
D00283,Chaman Biswas,Chennai,Bike,0,2020,Morning
D00284,Mahika Sunder,Vijayawada,Bike,3,2021,Morning
D00285,Azaan Chhabra,Coimbatore,Bike,2,2026,Evening
D00286,Andrew Hans,Vijayawada,Bike,1,2023,Afternoon
D00287,Jonathan Thaman,Vijayawada,Bike,5,2025,Afternoon
D00288,Ishwar Samra,Hyderabad,Scooter,8,2024,Evening
D00289,Samesh Pathak,Chennai,Scooter,7,2021,Night
D00290,Chandresh Memon,Bangalore,Scooter,4,2022,Night
D00291,Ekapad Korpal,Bangalore,Scooter,7,2021,Morning
D00292,Sara Dey,Chennai,Scooter,2,2025,Evening
D00293,Lakshit Dhar,Vijayawada,Bike,7,2020,Evening
D00294,Reva Tripathi,Chennai,Scooter,6,2024,Afternoon
D00295,Irya Agate,Hyderabad,Bike,2,2026,Evening
D00296,Praneel Mutti,Chennai,Scooter,1,2026,Afternoon
D00297,Charan Talwar,Hyderabad,Scooter,4,2021,Afternoon
D00298,Darsh Prabhakar,Vijayawada,Bike,7,2022,Evening
D00299,Bakhshi Dara,Hyderabad,Scooter,6,2023,Morning
D00300,Sai Agrawal,Chennai,Bike,2,2020,Evening
D00301,Kalpit Cherian,Hyderabad,Bike,2,2026,Afternoon
D00302,Chakrika Ganesh,Bangalore,Bike,5,2023,Night
D00303,Radha Chaudhry,Bangalore,Bike,6,2021,Morning
D00304,Hemal Dutta,Chennai,Bike,2,2021,Night
D00305,Kritika Dar,Coimbatore,Bike,5,2020,Morning
D00306,Aradhana Chaudhari,Chennai,Scooter,4,2025,Afternoon
D00307,Geetika Upadhyay,Coimbatore,Scooter,6,2021,Afternoon
D00308,Qushi Gaba,Chennai,Scooter,3,2023,Night
D00309,Ladli Sawhney,Coimbatore,Bike,0,2025,Afternoon
D00310,Hitesh Chaudhry,Bangalore,Bike,8,2022,Night
D00311,Gaurav D’Alia,Hyderabad,Scooter,2,2024,Afternoon
D00312,Jeevika Hayre,Hyderabad,Bike,3,2024,Night
D00313,Aarini Sandal,Chennai,Scooter,8,2022,Night
D00314,Azaan Vaidya,Coimbatore,Bike,3,2023,Night
D00315,Tamanna Banik,Vijayawada,Scooter,4,2023,Morning
D00316,Xavier Jha,Chennai,Bike,7,2022,Evening
D00317,Girish Edwin,Vijayawada,Bike,4,2026,Night
D00318,Champak Lalla,Chennai,Bike,3,2023,Morning
D00319,Arin Kari,Chennai,Scooter,7,2026,Afternoon
D00320,Caleb Memon,Hyderabad,Scooter,1,2024,Afternoon
D00321,Osha Karpe,Chennai,Bike,7,2023,Morning
D00322,Ayaan Dora,Chennai,Bike,0,2021,Evening
D00323,Avni Chatterjee,Coimbatore,Scooter,2,2022,Morning
D00324,Gautam Doctor,Bangalore,Bike,1,2023,Evening
D00325,Mason Bajwa,Chennai,Scooter,5,2024,Evening
D00326,Utkarsh Handa,Vijayawada,Scooter,5,2022,Afternoon
D00327,Eshana Thakkar,Bangalore,Scooter,8,2020,Night
D00328,Naksh Thaman,Bangalore,Scooter,7,2023,Night
D00329,Isaac Jain,Bangalore,Scooter,6,2020,Night
D00330,Ishaan Vaidya,Vijayawada,Bike,3,2022,Night
D00331,Brijesh Yadav,Coimbatore,Bike,6,2026,Afternoon
D00332,Ira Chanda,Chennai,Scooter,5,2026,Afternoon
D00333,Indrajit Borra,Chennai,Bike,6,2023,Evening
D00334,Ekanta Mani,Hyderabad,Bike,1,2020,Morning
D00335,Maanav Rao,Chennai,Scooter,1,2023,Morning
D00336,Owen Ben,Bangalore,Scooter,6,2020,Afternoon
D00337,Barkha Yohannan,Coimbatore,Scooter,5,2025,Afternoon
D00338,Daniel Agarwal,Hyderabad,Scooter,0,2022,Evening
D00339,Eta Jayaraman,Coimbatore,Bike,7,2020,Evening
D00340,Veer Purohit,Coimbatore,Bike,3,2025,Morning
D00341,Ati Saraf,Chennai,Bike,3,2026,Morning
D00342,Neha Mani,Vijayawada,Scooter,4,2026,Afternoon
D00343,Chandresh Rattan,Hyderabad,Scooter,0,2022,Evening
D00344,Warinder Kant,Chennai,Scooter,5,2020,Afternoon
D00345,Gaurika Loyal,Chennai,Scooter,6,2023,Night
D00346,Ojas Upadhyay,Coimbatore,Bike,5,2022,Night
D00347,Forum Kalita,Bangalore,Bike,7,2020,Morning
D00348,Harish Baria,Chennai,Bike,8,2023,Morning
D00349,Faraj Panchal,Bangalore,Scooter,1,2024,Morning
D00350,Patrick Merchant,Bangalore,Scooter,7,2025,Afternoon
D00351,Odika Bedi,Bangalore,Bike,6,2021,Morning
D00352,Samar Bhavsar,Bangalore,Scooter,0,2021,Night
D00353,Frado Gara,Bangalore,Scooter,6,2022,Evening
D00354,Naksh Maharaj,Chennai,Scooter,5,2025,Afternoon
D00355,Urmi Prabhakar,Vijayawada,Scooter,7,2021,Afternoon
D00356,Oni Mander,Coimbatore,Scooter,2,2024,Morning
D00357,Gaurang Sharaf,Bangalore,Bike,3,2025,Night
D00358,Tara Thakur,Chennai,Bike,3,2022,Night
D00359,Nirja Srivastava,Chennai,Bike,1,2026,Morning
D00360,Kala Soni,Coimbatore,Scooter,5,2020,Evening
D00361,Aishani Das,Vijayawada,Scooter,4,2020,Night
D00362,Kashvi Murthy,Chennai,Bike,2,2026,Morning
D00363,Noah Grover,Coimbatore,Bike,5,2021,Morning
D00364,Falan Kumar,Bangalore,Bike,6,2023,Evening
D00365,Aarna Bains,Chennai,Bike,2,2021,Morning
D00366,Laban Mani,Hyderabad,Scooter,3,2023,Evening
D00367,Yutika Wadhwa,Chennai,Scooter,3,2025,Afternoon
D00368,Jai Oak,Hyderabad,Bike,0,2022,Afternoon
D00369,Priya Baral,Chennai,Bike,0,2022,Morning
D00370,Krishna Borra,Chennai,Bike,2,2025,Afternoon
D00371,Turvi Bail,Chennai,Bike,6,2021,Afternoon
D00372,Abha Sarraf,Chennai,Bike,4,2023,Afternoon
D00373,Anya Chaudhry,Bangalore,Bike,7,2020,Evening
D00374,Rachita Bal,Coimbatore,Bike,8,2022,Night
D00375,Daksh Sibal,Bangalore,Bike,4,2024,Morning
D00376,Orinder Swamy,Chennai,Bike,6,2023,Morning
D00377,Umang Chaudhary,Bangalore,Scooter,0,2021,Evening
D00378,Falan Narayanan,Bangalore,Bike,5,2024,Night
D00379,Kabir Jayaraman,Bangalore,Bike,2,2020,Afternoon
D00380,Wriddhish Chaudhari,Coimbatore,Scooter,2,2024,Evening
D00381,Dalbir Karnik,Chennai,Scooter,3,2020,Evening
D00382,Ganga Halder,Coimbatore,Bike,7,2020,Evening
D00383,Hemang Dube,Hyderabad,Bike,8,2021,Morning
D00384,Barkha Raval,Chennai,Scooter,3,2022,Afternoon
D00385,Jeremiah Parmar,Chennai,Scooter,5,2022,Night
D00386,Wishi Malhotra,Chennai,Bike,0,2022,Night
D00387,Isaac Nazareth,Chennai,Bike,6,2021,Evening
D00388,Zaitra Brahmbhatt,Vijayawada,Scooter,0,2020,Night
D00389,Balhaar Bajwa,Bangalore,Bike,2,2020,Evening
D00390,Anirudh Buch,Chennai,Scooter,6,2024,Morning
D00391,Nilima Ramakrishnan,Coimbatore,Scooter,3,2021,Evening
D00392,Viraj Sandhu,Hyderabad,Scooter,4,2026,Night
D00393,Oscar Doctor,Chennai,Scooter,4,2024,Morning
D00394,Samuel Dey,Chennai,Scooter,4,2024,Afternoon
D00395,Ayush Boase,Bangalore,Scooter,3,2023,Morning
D00396,Krisha Babu,Bangalore,Bike,5,2022,Evening
D00397,Tamanna Jha,Vijayawada,Scooter,6,2022,Afternoon
D00398,Daksh Gole,Hyderabad,Scooter,7,2020,Afternoon
D00399,Chameli Shan,Hyderabad,Bike,4,2024,Night
D00400,Bhavika Doctor,Hyderabad,Scooter,5,2026,Night
D00401,Vamakshi Warrior,Bangalore,Bike,6,2020,Night
D00402,Sai Choudhury,Bangalore,Scooter,3,2026,Night
D00403,Yoshita Sandal,Hyderabad,Bike,0,2024,Night
D00404,Gaurang D’Alia,Chennai,Bike,0,2026,Morning
D00405,Dayamai Bedi,Bangalore,Bike,7,2024,Afternoon
D00406,Yochana Hari,Bangalore,Bike,6,2022,Afternoon
D00407,Mugdha Aurora,Hyderabad,Bike,7,2023,Night
D00408,Faras Reddy,Bangalore,Bike,7,2020,Evening
D00409,Anusha Mangal,Bangalore,Scooter,1,2026,Morning
D00410,Aarini Keer,Bangalore,Bike,5,2023,Afternoon
D00411,Oeshi Singhal,Bangalore,Bike,1,2026,Morning
D00412,Wyatt Banik,Bangalore,Scooter,7,2025,Morning
D00413,Wriddhish Sangha,Chennai,Bike,2,2026,Morning
D00414,Idika Jhaveri,Hyderabad,Bike,4,2023,Morning
D00415,Vedhika Tank,Hyderabad,Scooter,5,2022,Afternoon
D00416,Jhalak Dua,Bangalore,Bike,4,2025,Night
D00417,Ria Gara,Hyderabad,Bike,6,2024,Night
D00418,Meghana Balan,Vijayawada,Scooter,3,2020,Afternoon
D00419,Pallavi Patel,Chennai,Scooter,1,2021,Morning
D00420,Indira Dube,Hyderabad,Bike,2,2024,Afternoon
D00421,Ayushman Baria,Chennai,Bike,2,2025,Morning
